artist,songs,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Britney Spears,3,spotify:track:7eusnHDVdvqjUGAigj77XC,0.704,0.717,5,-1.919,0,0.0453,0.0527,0.0,0.227,0.772,134.991,audio_features,7eusnHDVdvqjUGAigj77XC,https://api.spotify.com/v1/tracks/7eusnHDVdvqjUGAigj77XC,https://api.spotify.com/v1/audio-analysis/7eusnHDVdvqjUGAigj77XC,213173,4
Pitbull,Hotel Room Service,spotify:track:32yIEFS62uS5ryhr2Xlooj,0.849,0.599,6,-8.164,1,0.227,0.00301,0.000249,0.0763,0.761,126.003,audio_features,32yIEFS62uS5ryhr2Xlooj,https://api.spotify.com/v1/tracks/32yIEFS62uS5ryhr2Xlooj,https://api.spotify.com/v1/audio-analysis/32yIEFS62uS5ryhr2Xlooj,238507,4
Ollie,Terkkui Exille,spotify:track:4pBK57ziLFqaN1sevhmIQZ,0.706,0.77,4,-4.887,1,0.0346,0.103,0.0,0.207,0.798,92.05,audio_features,4pBK57ziLFqaN1sevhmIQZ,https://api.spotify.com/v1/tracks/4pBK57ziLFqaN1sevhmIQZ,https://api.spotify.com/v1/audio-analysis/4pBK57ziLFqaN1sevhmIQZ,201712,4
Zen Cafe,Todella kaunis,spotify:track:2f83TGTfPhzaUtxbJtSIqn,0.564,0.657,4,-5.859,1,0.0239,0.0947,0.0,0.175,0.405,94.093,audio_features,2f83TGTfPhzaUtxbJtSIqn,https://api.spotify.com/v1/tracks/2f83TGTfPhzaUtxbJtSIqn,https://api.spotify.com/v1/audio-analysis/2f83TGTfPhzaUtxbJtSIqn,203787,4
Bruno Mars,Grenade,spotify:track:1WWR7F24UbFi06sfvcnvD8,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,audio_features,1WWR7F24UbFi06sfvcnvD8,https://api.spotify.com/v1/tracks/1WWR7F24UbFi06sfvcnvD8,https://api.spotify.com/v1/audio-analysis/1WWR7F24UbFi06sfvcnvD8,222091,4
Annabel Jones,Asking for a Friend - Stripped,spotify:track:08Ovh180covBWO0CTnJhqz,0.44,0.2,10,-10.049,0,0.0338,0.885,0.0,0.119,0.127,110.975,audio_features,08Ovh180covBWO0CTnJhqz,https://api.spotify.com/v1/tracks/08Ovh180covBWO0CTnJhqz,https://api.spotify.com/v1/audio-analysis/08Ovh180covBWO0CTnJhqz,196615,5
Chisu,Yksinäisen keijun tarina,spotify:track:2Fmnwa31mlSYua3M6lfXyw,0.68,0.142,11,-16.333,0,0.0362,0.958,7.4e-06,0.122,0.653,94.786,audio_features,2Fmnwa31mlSYua3M6lfXyw,https://api.spotify.com/v1/tracks/2Fmnwa31mlSYua3M6lfXyw,https://api.spotify.com/v1/audio-analysis/2Fmnwa31mlSYua3M6lfXyw,184707,4
Fernando,Listen to Your Heart (Remix),spotify:track:0AkbkEGWAp2oa946gLDIdd,0.723,0.624,11,-9.319,0,0.301,0.498,0.0,0.148,0.616,157.965,audio_features,0AkbkEGWAp2oa946gLDIdd,https://api.spotify.com/v1/tracks/0AkbkEGWAp2oa946gLDIdd,https://api.spotify.com/v1/audio-analysis/0AkbkEGWAp2oa946gLDIdd,292637,4
Denmark + Winter,Every Breath You Take (Re:Imagined),spotify:track:1sz0fuWEAcPkCfG5o7D9KP,0.586,0.492,0,-8.114,0,0.0252,0.337,4.47e-05,0.112,0.0897,108.006,audio_features,1sz0fuWEAcPkCfG5o7D9KP,https://api.spotify.com/v1/tracks/1sz0fuWEAcPkCfG5o7D9KP,https://api.spotify.com/v1/audio-analysis/1sz0fuWEAcPkCfG5o7D9KP,222222,4
Measure,Begin Again,spotify:track:1szZ3bIPsIN4ok9DIrNqmJ,0.664,0.501,0,-9.589,1,0.0292,0.196,0.243,0.0955,0.165,150.039,audio_features,1szZ3bIPsIN4ok9DIrNqmJ,https://api.spotify.com/v1/tracks/1szZ3bIPsIN4ok9DIrNqmJ,https://api.spotify.com/v1/audio-analysis/1szZ3bIPsIN4ok9DIrNqmJ,259827,4
